,ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting,date,parsed_id,Home_Game,full_name,ORTG,DRTG,Opponent_ORTG,Opponent_DRTG,W,Opponent_W,L,Opponent_L,PW,Opponent_PW,PL,Opponent_PL,MOV,Opponent_MOV,SOS,Opponent_SOS,SRS,Opponent_SRS,ORtg,Opponent_ORtg,DRtg,Opponent_DRtg,Pace,Opponent_Pace,FTr,Opponent_FTr,3PAr,Opponent_3PAr,eFG%,Opponent_eFG%,TOV%,Opponent_TOV%,ORB%,Opponent_ORB%,FT/FGA,Opponent_FT/FGA,DRB%,Opponent_DRB%,ARENA,Opponent_ARENA,ATTENDANCE,Opponent_ATTENDANCE,player_id,position_type,PTS,REB,AST,ST,BLK,TO,total_points,FPPG_std,FPS1,FPS2,FPS3,FPS4,FPS5,C,PF,PG,SF,SG,U,F,G,FPPG_lowerbound,FPPG_upperbound,weighted_FPS,Home_Modifier,Opponent_Modifier,Team_Modifier,Pace_Modifier,Team_Odds,Opponent_Odds,Adjusted_Team_Odds,Adjusted_Opponent_Odds,Normalized_Team_Odds,Normalized_Opponent_Odds,Value_Score,log_Value_Score_with_std
0,nba.p.4660,Patty,Mills,PG,UTA,SA,UTA@SA,5:00PM EST,10,9.1, , ,2024-11-09,4660,0,Patty Mills,103.27,118.86,109.59,111.72,1.0,4.0,7.0,5.0,1.0,4.0,7.0,5.0,-15.75,-2.22,1.12,3.58,-14.63,1.35,103.3,109.4,118.9,111.7,100.9,96.8,0.31,0.235,0.442,0.427,0.551,0.526,11.1,12.3,26.9,27.0,0.171,0.158,71.8,75.1,Delta Center,Frost Bank Center,72700.0,71611.0,4660,P,3.4,0.9,1.6,0.8,0.3,0.8,9.38,4.927020977658377,14.2,14.7,3.2,11.7,7.2,False,False,True,False,False,True,False,True,4.1729790223416225,14.027020977658378,15.725000000000001,0.95,1.0,1.0327,0.9884999999999999,3.101,1.391,0.32247662044501774,0.7189072609633357,0.35859400193485974,0.7994248741912293,0.43716540652207775,-1.4168490162216802
1,nba.p.5357,Jordan,Clarkson,SG,UTA,SA,UTA@SA,5:00PM EST,25,22.2, , ,2024-11-09,5357,0,Jordan Clarkson,103.27,118.86,109.59,111.72,1.0,4.0,7.0,5.0,1.0,4.0,7.0,5.0,-15.75,-2.22,1.12,3.58,-14.63,1.35,103.3,109.4,118.9,111.7,100.9,96.8,0.31,0.235,0.442,0.427,0.551,0.526,11.1,12.3,26.9,27.0,0.171,0.158,71.8,75.1,Delta Center,Frost Bank Center,72700.0,71611.0,5357,P,13.8,3.8,3.2,0.3,0.2,2.5,22.16,9.215078223578281,21.8,11.1,30.5,22.0,13.2,False,False,False,False,True,True,False,True,12.984921776421718,31.41507822357828,27.965,0.95,1.0,1.0327,0.9884999999999999,3.101,1.391,0.32247662044501774,0.7189072609633357,0.35859400193485974,0.7994248741912293,0.3109782026935428,-2.0530913077871085
2,nba.p.5769,Lauri,Markkanen,SF,UTA,SA,UTA@SA,5:00PM EST,39,27.9, , ,2024-11-09,5769,0,Lauri Markkanen,103.27,118.86,109.59,111.72,1.0,4.0,7.0,5.0,1.0,4.0,7.0,5.0,-15.75,-2.22,1.12,3.58,-14.63,1.35,103.3,109.4,118.9,111.7,100.9,96.8,0.31,0.235,0.442,0.427,0.551,0.526,11.1,12.3,26.9,27.0,0.171,0.158,71.8,75.1,Delta Center,Frost Bank Center,72700.0,71611.0,5769,P,16.0,7.2,2.2,0.6,0.0,1.8,27.94,13.05365849101316,26.4,10.1,29.799999999999997,26.6,46.8,False,False,False,True,False,True,True,False,14.84634150898684,40.95365849101316,40.94,0.95,1.0,1.0327,0.9884999999999999,3.101,1.391,0.32247662044501774,0.7189072609633357,0.35859400193485974,0.7994248741912293,0.29183566496292623,-2.3868185497340026
3,nba.p.5832,John,Collins,PF,UTA,SA,UTA@SA,5:00PM EST,28,30.9, , ,2024-11-09,5832,0,John Collins,103.27,118.86,109.59,111.72,1.0,4.0,7.0,5.0,1.0,4.0,7.0,5.0,-15.75,-2.22,1.12,3.58,-14.63,1.35,103.3,109.4,118.9,111.7,100.9,96.8,0.31,0.235,0.442,0.427,0.551,0.526,11.1,12.3,26.9,27.0,0.171,0.158,71.8,75.1,Delta Center,Frost Bank Center,72700.0,71611.0,5832,P,15.9,7.1,2.6,0.8,0.9,2.4,31.02,11.511601291119941,12.1,52.1,32.5,35.7,30.4,False,True,False,False,False,True,True,False,19.388398708880057,42.411601291119936,44.56,0.95,1.0,1.0327,0.9884999999999999,3.101,1.391,0.32247662044501774,0.7189072609633357,0.35859400193485974,0.7994248741912293,0.4424276746451007,-2.160328737927379
4,nba.p.6019,Collin,Sexton,PG,UTA,SA,UTA@SA,5:00PM EST,30,22.7, , ,2024-11-09,6019,0,Collin Sexton,103.27,118.86,109.59,111.72,1.0,4.0,7.0,5.0,1.0,4.0,7.0,5.0,-15.75,-2.22,1.12,3.58,-14.63,1.35,103.3,109.4,118.9,111.7,100.9,96.8,0.31,0.235,0.442,0.427,0.551,0.526,11.1,12.3,26.9,27.0,0.171,0.158,71.8,75.1,Delta Center,Frost Bank Center,72700.0,71611.0,6019,P,14.9,2.3,3.3,0.8,0.3,2.8,23.11,11.136939820768925,23.9,38.9,16.2,29.1,4.9,False,False,True,False,False,True,False,True,11.563060179231075,33.836939820768926,33.34,0.95,1.0,1.0327,0.9884999999999999,3.101,1.391,0.32247662044501774,0.7189072609633357,0.35859400193485974,0.7994248741912293,0.3089580212707169,-2.227022262681964
5,nba.p.6058,Svi,Mykhailiuk,SG,UTA,SA,UTA@SA,5:00PM EST,10,11.2, , ,2024-11-09,6058,0,Svi Mykhailiuk,103.27,118.86,109.59,111.72,1.0,4.0,7.0,5.0,1.0,4.0,7.0,5.0,-15.75,-2.22,1.12,3.58,-14.63,1.35,103.3,109.4,118.9,111.7,100.9,96.8,0.31,0.235,0.442,0.427,0.551,0.526,11.1,12.3,26.9,27.0,0.171,0.158,71.8,75.1,Delta Center,Frost Bank Center,72700.0,71611.0,6058,P,6.0,1.0,2.0,1.0,0.0,2.0,11.2,,,,,,,False,False,False,False,True,True,False,True,,,,0.95,1.0,1.0327,0.9884999999999999,3.101,1.391,0.32247662044501774,0.7189072609633357,0.35859400193485974,0.7994248741912293,,
6,nba.p.6109,Drew,Eubanks,C,UTA,SA,UTA@SA,5:00PM EST,12,12.3, , ,2024-11-09,6109,0,Drew Eubanks,103.27,118.86,109.59,111.72,1.0,4.0,7.0,5.0,1.0,4.0,7.0,5.0,-15.75,-2.22,1.12,3.58,-14.63,1.35,103.3,109.4,118.9,111.7,100.9,96.8,0.31,0.235,0.442,0.427,0.551,0.526,11.1,12.3,26.9,27.0,0.171,0.158,71.8,75.1,Delta Center,Frost Bank Center,72700.0,71611.0,6109,P,3.8,4.2,1.3,0.2,0.7,1.0,12.49,6.279702753050232,14.4,10.3,20.7,16.5,2.7,True,False,False,False,False,True,False,False,6.020297246949768,18.579702753050235,17.135,0.95,1.0,1.0327,0.9884999999999999,3.101,1.391,0.32247662044501774,0.7189072609633357,0.35859400193485974,0.7994248741912293,0.3969702830289242,-1.6507842226922098
7,nba.p.6575,Jason,Preston,PG,UTA,SA,UTA@SA,5:00PM EST,10,9.1, , ,2024-11-09,6575,0,Jason Preston,103.27,118.86,109.59,111.72,1.0,4.0,7.0,5.0,1.0,4.0,7.0,5.0,-15.75,-2.22,1.12,3.58,-14.63,1.35,103.3,109.4,118.9,111.7,100.9,96.8,0.31,0.235,0.442,0.427,0.551,0.526,11.1,12.3,26.9,27.0,0.171,0.158,71.8,75.1,Delta Center,Frost Bank Center,72700.0,71611.0,6575,P,,,,,,,0.0,,,,,,,False,False,True,False,False,True,False,True,,,,0.95,1.0,1.0327,0.9884999999999999,3.101,1.391,0.32247662044501774,0.7189072609633357,0.35859400193485974,0.7994248741912293,,
8,nba.p.6655,Micah,Potter,PF,UTA,SA,UTA@SA,5:00PM EST,10,8.7, , ,2024-11-09,6655,0,Micah Potter,103.27,118.86,109.59,111.72,1.0,4.0,7.0,5.0,1.0,4.0,7.0,5.0,-15.75,-2.22,1.12,3.58,-14.63,1.35,103.3,109.4,118.9,111.7,100.9,96.8,0.31,0.235,0.442,0.427,0.551,0.526,11.1,12.3,26.9,27.0,0.171,0.158,71.8,75.1,Delta Center,Frost Bank Center,72700.0,71611.0,6655,P,,,,,,,0.0,,,,,,,False,True,False,False,False,True,True,False,,,,0.95,1.0,1.0327,0.9884999999999999,3.101,1.391,0.32247662044501774,0.7189072609633357,0.35859400193485974,0.7994248741912293,,
9,nba.p.6712,Walker,Kessler,C,UTA,SA,UTA@SA,5:00PM EST,22,33.7, , ,2024-11-09,6712,0,Walker Kessler,103.27,118.86,109.59,111.72,1.0,4.0,7.0,5.0,1.0,4.0,7.0,5.0,-15.75,-2.22,1.12,3.58,-14.63,1.35,103.3,109.4,118.9,111.7,100.9,96.8,0.31,0.235,0.442,0.427,0.551,0.526,11.1,12.3,26.9,27.0,0.171,0.158,71.8,75.1,Delta Center,Frost Bank Center,72700.0,71611.0,6712,P,9.5,11.4,1.1,0.5,3.0,1.6,33.73,12.295462287248204,22.6,40.2,47.8,28.7,24.6,True,False,False,False,False,True,False,False,21.404537712751797,45.99546228724821,44.015,0.95,1.0,1.0327,0.9884999999999999,3.101,1.391,0.32247662044501774,0.7189072609633357,0.35859400193485974,0.7994248741912293,0.5562027856068579,-2.145174053397397
10,nba.p.6762,Johnny,Juzang,SF,UTA,SA,UTA@SA,5:00PM EST,11,12.4, , ,2024-11-09,6762,0,Johnny Juzang,103.27,118.86,109.59,111.72,1.0,4.0,7.0,5.0,1.0,4.0,7.0,5.0,-15.75,-2.22,1.12,3.58,-14.63,1.35,103.3,109.4,118.9,111.7,100.9,96.8,0.31,0.235,0.442,0.427,0.551,0.526,11.1,12.3,26.9,27.0,0.171,0.158,71.8,75.1,Delta Center,Frost Bank Center,72700.0,71611.0,6762,P,7.4,1.2,0.8,0.8,0.2,0.6,12.44,10.422715577046127,20.7,12.2,24.9,1.4,3.0,False,False,False,True,False,True,True,False,1.9772844229538737,22.822715577046125,15.955,0.95,1.0,1.0327,0.9884999999999999,3.101,1.391,0.32247662044501774,0.7189072609633357,0.35859400193485974,0.7994248741912293,0.40323596248358146,-2.096822996079745
11,nba.p.10100,Keyonte,George,PG,UTA,SA,UTA@SA,5:00PM EST,20,27.3,GTD, ,2024-11-09,10100,0,Keyonte George,103.27,118.86,109.59,111.72,1.0,4.0,7.0,5.0,1.0,4.0,7.0,5.0,-15.75,-2.22,1.12,3.58,-14.63,1.35,103.3,109.4,118.9,111.7,100.9,96.8,0.31,0.235,0.442,0.427,0.551,0.526,11.1,12.3,26.9,27.0,0.171,0.158,71.8,75.1,Delta Center,Frost Bank Center,72700.0,71611.0,10100,P,15.6,2.9,6.4,0.5,0.1,3.3,27.18,11.003627648578965,16.1,51.7,28.4,20.3,27.3,False,False,True,False,False,True,False,True,16.296372351421034,38.30362764857897,39.41000000000001,0.95,1.0,1.0327,0.9884999999999999,3.101,1.391,0.32247662044501774,0.7189072609633357,0.35859400193485974,0.7994248741912293,0.5478120404144702,-2.0483665612770516
12,nba.p.10110,Taylor,Hendricks,SF,UTA,SA,UTA@SA,5:00PM EST,18,20.0,INJ, ,2024-11-09,10110,0,Taylor Hendricks,103.27,118.86,109.59,111.72,1.0,4.0,7.0,5.0,1.0,4.0,7.0,5.0,-15.75,-2.22,1.12,3.58,-14.63,1.35,103.3,109.4,118.9,111.7,100.9,96.8,0.31,0.235,0.442,0.427,0.551,0.526,11.1,12.3,26.9,27.0,0.171,0.158,71.8,75.1,Delta Center,Frost Bank Center,72700.0,71611.0,10110,P,4.7,5.0,0.7,1.7,1.3,0.7,20.05,,,,,,,False,False,False,True,False,True,True,False,,,,0.95,1.0,1.0327,0.9884999999999999,3.101,1.391,0.32247662044501774,0.7189072609633357,0.35859400193485974,0.7994248741912293,,
13,nba.p.10122,Brice,Sensabaugh,SF,UTA,SA,UTA@SA,5:00PM EST,12,8.6, , ,2024-11-09,10122,0,Brice Sensabaugh,103.27,118.86,109.59,111.72,1.0,4.0,7.0,5.0,1.0,4.0,7.0,5.0,-15.75,-2.22,1.12,3.58,-14.63,1.35,103.3,109.4,118.9,111.7,100.9,96.8,0.31,0.235,0.442,0.427,0.551,0.526,11.1,12.3,26.9,27.0,0.171,0.158,71.8,75.1,Delta Center,Frost Bank Center,72700.0,71611.0,10122,P,5.8,1.9,0.5,0.4,0.0,1.3,8.73,4.815970455533488,7.2,0.20000000000000018,11.5,8.1,15.1,False,False,False,True,False,True,True,False,3.7840295444665113,13.415970455533488,12.015,0.95,1.0,1.0327,0.9884999999999999,3.101,1.391,0.32247662044501774,0.7189072609633357,0.35859400193485974,0.7994248741912293,0.2783541260923563,-1.515034248817307
14,nba.p.10127,Oscar,Tshiebwe,C,UTA,SA,UTA@SA,5:00PM EST,10,7.2, , ,2024-11-09,10127,0,Oscar Tshiebwe,103.27,118.86,109.59,111.72,1.0,4.0,7.0,5.0,1.0,4.0,7.0,5.0,-15.75,-2.22,1.12,3.58,-14.63,1.35,103.3,109.4,118.9,111.7,100.9,96.8,0.31,0.235,0.442,0.427,0.551,0.526,11.1,12.3,26.9,27.0,0.171,0.158,71.8,75.1,Delta Center,Frost Bank Center,72700.0,71611.0,10127,P,,,,,,,0.0,,,,,,,True,False,False,False,False,True,False,False,,,,0.95,1.0,1.0327,0.9884999999999999,3.101,1.391,0.32247662044501774,0.7189072609633357,0.35859400193485974,0.7994248741912293,,
15,nba.p.10282,Isaiah,Collier,PG,UTA,SA,UTA@SA,5:00PM EST,16,0.5, , ,2024-11-09,10282,0,Isaiah Collier,103.27,118.86,109.59,111.72,1.0,4.0,7.0,5.0,1.0,4.0,7.0,5.0,-15.75,-2.22,1.12,3.58,-14.63,1.35,103.3,109.4,118.9,111.7,100.9,96.8,0.31,0.235,0.442,0.427,0.551,0.526,11.1,12.3,26.9,27.0,0.171,0.158,71.8,75.1,Delta Center,Frost Bank Center,72700.0,71611.0,10282,P,0.0,0.0,1.0,0.0,0.0,1.0,0.5,,,,,,,False,False,True,False,False,True,False,True,,,,0.95,1.0,1.0327,0.9884999999999999,3.101,1.391,0.32247662044501774,0.7189072609633357,0.35859400193485974,0.7994248741912293,,
16,nba.p.10283,Cody,Williams,SF,UTA,SA,UTA@SA,5:00PM EST,17,11.9, , ,2024-11-09,10283,0,Cody Williams,103.27,118.86,109.59,111.72,1.0,4.0,7.0,5.0,1.0,4.0,7.0,5.0,-15.75,-2.22,1.12,3.58,-14.63,1.35,103.3,109.4,118.9,111.7,100.9,96.8,0.31,0.235,0.442,0.427,0.551,0.526,11.1,12.3,26.9,27.0,0.171,0.158,71.8,75.1,Delta Center,Frost Bank Center,72700.0,71611.0,10283,P,4.8,3.0,1.4,0.5,0.3,0.8,12.1,6.780526212196641,11.9,26.0,5.2,10.0,17.0,False,False,False,True,False,True,True,False,5.11947378780336,18.68052621219664,20.54,0.95,1.0,1.0327,0.9884999999999999,3.101,1.391,0.32247662044501774,0.7189072609633357,0.35859400193485974,0.7994248741912293,0.335897407648498,-1.7620206909485479
17,nba.p.10315,Kyle,Filipowski,C,UTA,SA,UTA@SA,5:00PM EST,16,9.9, , ,2024-11-09,10315,0,Kyle Filipowski,103.27,118.86,109.59,111.72,1.0,4.0,7.0,5.0,1.0,4.0,7.0,5.0,-15.75,-2.22,1.12,3.58,-14.63,1.35,103.3,109.4,118.9,111.7,100.9,96.8,0.31,0.235,0.442,0.427,0.551,0.526,11.1,12.3,26.9,27.0,0.171,0.158,71.8,75.1,Delta Center,Frost Bank Center,72700.0,71611.0,10315,P,4.7,3.6,1.0,0.1,0.0,1.0,9.82,9.713000615277494,0.0,15.0,7.199999999999999,17.5,25.6,True,False,False,False,False,True,False,False,0.18699938472250643,19.613000615277492,18.095,0.95,1.0,1.0327,0.9884999999999999,3.101,1.391,0.32247662044501774,0.7189072609633357,0.35859400193485974,0.7994248741912293,0.314408109340898,-2.0980715573771267
18,nba.p.3930,Chris,Paul,PG,SA,UTA,UTA@SA,5:00PM EST,22,29.1, , ,2024-11-09,3930,1,Chris Paul,109.59,111.72,103.27,118.86,,1.0,,7.0,,1.0,,7.0,,-15.75,,1.12,,-14.63,,103.3,,118.9,,100.9,,0.31,,0.442,,0.551,,11.1,,26.9,,0.171,,71.8,,Delta Center,,72700.0,3930,P,11.1,3.8,8.0,1.1,0.1,2.2,29.06,11.243269591676219,22.4,16.4,38.2,38.3,47.4,False,False,True,False,False,True,False,True,17.856730408323784,40.34326959167622,44.975,0.95,1.0,1.0959,,1.391,3.101,0.7189072609633357,0.32247662044501774,0.7994248741912293,0.35859400193485974,,
19,nba.p.5013,Harrison,Barnes,SF,SA,UTA,UTA@SA,5:00PM EST,15,17.1, , ,2024-11-09,5013,1,Harrison Barnes,109.59,111.72,103.27,118.86,,1.0,,7.0,,1.0,,7.0,,-15.75,,1.12,,-14.63,,103.3,,118.9,,100.9,,0.31,,0.442,,0.551,,11.1,,26.9,,0.171,,71.8,,Delta Center,,72700.0,5013,P,9.7,3.7,1.4,0.3,0.2,0.8,16.94,9.24172302357328,20.4,2.7,15.7,25.1,13.4,False,False,False,True,False,True,True,False,7.858276976426721,26.34172302357328,23.910000000000004,0.95,1.0,1.0959,,1.391,3.101,0.7189072609633357,0.32247662044501774,0.7994248741912293,0.35859400193485974,,
20,nba.p.5823,Zach,Collins,C,SA,UTA,UTA@SA,5:00PM EST,19,14.4, , ,2024-11-09,5823,1,Zach Collins,109.59,111.72,103.27,118.86,,1.0,,7.0,,1.0,,7.0,,-15.75,,1.12,,-14.63,,103.3,,118.9,,100.9,,0.31,,0.442,,0.551,,11.1,,26.9,,0.171,,71.8,,Delta Center,,72700.0,5823,P,6.0,3.2,1.9,0.7,0.2,1.0,14.39,6.430979707633977,19.9,9.7,15.1,19.7,1.4,True,False,False,False,False,True,False,False,7.969020292366023,20.83097970763398,19.700000000000003,0.95,1.0,1.0959,,1.391,3.101,0.7189072609633357,0.32247662044501774,0.7994248741912293,0.35859400193485974,,
21,nba.p.6217,Keldon,Johnson,SF,SA,UTA,UTA@SA,5:00PM EST,27,23.4, , ,2024-11-09,6217,1,Keldon Johnson,109.59,111.72,103.27,118.86,,1.0,,7.0,,1.0,,7.0,,-15.75,,1.12,,-14.63,,103.3,,118.9,,100.9,,0.31,,0.442,,0.551,,11.1,,26.9,,0.171,,71.8,,Delta Center,,72700.0,6217,P,12.6,6.2,1.0,0.8,0.1,0.8,23.44,9.682903031173613,34.7,22.3,17.5,40.6,18.8,False,False,False,True,False,True,True,False,13.717096968826386,33.082903031173615,39.955000000000005,0.95,1.0,1.0959,,1.391,3.101,0.7189072609633357,0.32247662044501774,0.7994248741912293,0.35859400193485974,,
22,nba.p.6403,Devin,Vassell,SG,SA,UTA,UTA@SA,5:00PM EST,30,32.8,INJ, ,2024-11-09,6403,1,Devin Vassell,109.59,111.72,103.27,118.86,,1.0,,7.0,,1.0,,7.0,,-15.75,,1.12,,-14.63,,103.3,,118.9,,100.9,,0.31,,0.442,,0.551,,11.1,,26.9,,0.171,,71.8,,Delta Center,,72700.0,6403,P,,,,,,,0.0,,,,,,,False,False,False,False,True,True,False,True,,,,0.95,1.0,1.0959,,1.391,3.101,0.7189072609633357,0.32247662044501774,0.7994248741912293,0.35859400193485974,,
23,nba.p.6433,Tre,Jones,PG,SA,UTA,UTA@SA,5:00PM EST,20,11.7,INJ, ,2024-11-09,6433,1,Tre Jones,109.59,111.72,103.27,118.86,,1.0,,7.0,,1.0,,7.0,,-15.75,,1.12,,-14.63,,103.3,,118.9,,100.9,,0.31,,0.442,,0.551,,11.1,,26.9,,0.171,,71.8,,Delta Center,,72700.0,6433,P,3.0,1.0,3.0,1.0,0.0,0.0,11.7,,,,,,,False,False,True,False,False,True,False,True,,,,0.95,1.0,1.0959,,1.391,3.101,0.7189072609633357,0.32247662044501774,0.7994248741912293,0.35859400193485974,,
24,nba.p.6595,Charles,Bassey,C,SA,UTA,UTA@SA,5:00PM EST,10,4.0, , ,2024-11-09,6595,1,Charles Bassey,109.59,111.72,103.27,118.86,,1.0,,7.0,,1.0,,7.0,,-15.75,,1.12,,-14.63,,103.3,,118.9,,100.9,,0.31,,0.442,,0.551,,11.1,,26.9,,0.171,,71.8,,Delta Center,,72700.0,6595,P,1.2,1.4,0.2,0.2,0.2,0.4,3.98,5.521050624654695,0.0,11.2,0.0,0.0,8.7,True,False,False,False,False,True,False,False,-1.5210506246546949,9.521050624654695,6.015,0.95,1.0,1.0959,,1.391,3.101,0.7189072609633357,0.32247662044501774,0.7994248741912293,0.35859400193485974,,
25,nba.p.6596,Sandro,Mamukelashvili,C,SA,UTA,UTA@SA,5:00PM EST,12,9.0, , ,2024-11-09,6596,1,Sandro Mamukelashvili,109.59,111.72,103.27,118.86,,1.0,,7.0,,1.0,,7.0,,-15.75,,1.12,,-14.63,,103.3,,118.9,,100.9,,0.31,,0.442,,0.551,,11.1,,26.9,,0.171,,71.8,,Delta Center,,72700.0,6596,P,4.4,2.9,0.3,0.0,0.6,1.0,9.13,7.273926037567332,7.6,23.9,5.0,1.2,11.2,True,False,False,False,False,True,False,False,1.7260739624326682,16.273926037567332,14.010000000000002,0.95,1.0,1.0959,,1.391,3.101,0.7189072609633357,0.32247662044501774,0.7994248741912293,0.35859400193485974,,
26,nba.p.6624,David,Duke Jr.,SF,SA,UTA,UTA@SA,5:00PM EST,10,6.0, , ,2024-11-09,6624,1,David Duke Jr.,109.59,111.72,103.27,118.86,,1.0,,7.0,,1.0,,7.0,,-15.75,,1.12,,-14.63,,103.3,,118.9,,100.9,,0.31,,0.442,,0.551,,11.1,,26.9,,0.171,,71.8,,Delta Center,,72700.0,6624,P,3.0,0.0,2.0,0.0,0.0,0.0,6.0,,,,,,,False,False,False,True,False,True,True,False,,,,0.95,1.0,1.0959,,1.391,3.101,0.7189072609633357,0.32247662044501774,0.7994248741912293,0.35859400193485974,,
